Team,AdjOE,AdjDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,ADJ T,WAB,Season
Belmont,115.917,102.03,0.812675,57.6,48.7,15.2,16.0,25.3,25.0,70.9426,1.37304,2019
Temple,110.27,98.7443,0.780674,49.9,50.6,15.7,20.6,26.9,29.2,68.6822,1.96236,2019
Fairleigh Dickinson,105.696,111.196,0.358163,54.2,52.0,19.7,20.2,29.5,33.2,66.6984,-9.15161,2019
Prairie View A&M,102.877,106.502,0.401723,49.0,51.2,17.4,24.7,29.7,34.3,70.6089,-6.88478,2019
Arizona St.,109.572,98.6855,0.769126,50.6,48.5,18.7,19.0,31.7,26.9,70.2841,0.229208,2019
St. John's,108.307,100.625,0.699727,51.9,50.7,14.3,21.2,21.8,29.4,70.8754,-1.08338,2019
North Dakota St.,107.7,109.975,0.440177,53.5,53.6,15.7,14.4,20.7,25.9,64.9377,-8.39957,2019
North Carolina Central,99.2027,109.081,0.251317,49.9,49.9,22.7,17.5,34.8,26.9,64.8922,-10.7812,2019
Auburn,122.021,96.4109,0.93756,54.4,51.7,16.8,24.6,31.6,32.8,67.7556,6.12164,2019
New Mexico St.,112.859,99.187,0.815328,54.1,48.9,17.9,19.2,37.2,22.5,65.6028,1.63332,2019
Baylor,115.355,100.398,0.831606,51.2,49.1,19.7,18.6,37.9,29.4,64.9758,0.947127,2019
Syracuse,111.28,95.3841,0.854785,49.6,48.1,18.5,23.1,30.2,33.4,65.8516,0.50883,2019
Florida,111.134,92.853,0.887631,49.8,48.1,17.9,22.4,30.6,32.2,62.6869,0.642378,2019
Nevada,113.521,96.9542,0.859858,53.7,47.7,14.6,19.2,27.2,24.9,69.1724,4.11906,2019
Florida St.,112.502,92.0503,0.909478,50.5,47.2,18.9,20.3,32.8,27.0,68.5348,7.66943,2019
Vermont,108.155,98.9613,0.73529,52.6,48.7,16.8,19.1,27.3,22.2,65.3346,-0.75192,2019
Gonzaga,124.362,91.0071,0.973168,59.0,44.2,14.9,19.0,31.5,26.8,70.349,7.15027,2019
Kansas,113.733,93.6758,0.903013,52.6,47.8,18.8,18.2,30.1,27.9,69.8946,8.33175,2019
Northeastern,110.186,103.529,0.671867,56.5,52.1,16.6,16.7,22.7,24.6,66.2039,-2.58128,2019
Kentucky,118.256,90.9655,0.953347,53.0,46.6,18.6,17.9,36.8,25.5,65.2929,8.76375,2019
Abilene Christian,102.009,101.585,0.511969,51.9,49.8,17.3,23.3,27.0,28.5,65.4922,-2.47145,2019
LSU,118.691,97.8534,0.90204,51.2,49.9,17.9,20.1,36.7,30.8,69.6385,7.34025,2019
Yale,111.582,103.536,0.702787,55.6,47.3,17.8,15.2,26.3,24.6,70.7543,-0.702416,2019
Maryland,112.397,94.5112,0.880077,51.4,45.9,19.4,14.1,34.1,24.8,66.2161,4.17559,2019
Michigan,115.322,86.7684,0.963441,51.6,44.1,13.9,18.0,24.7,24.8,64.4157,9.18282,2019
Montana,107.339,104.14,0.586121,56.1,50.1,17.3,19.2,27.4,24.9,66.3155,-3.01025,2019
Michigan St.,120.608,92.2595,0.956115,55.2,43.9,18.5,14.9,33.9,26.4,67.1038,10.6398,2019
Bradley,102.13,101.537,0.516741,49.7,47.6,18.8,18.4,26.7,26.7,64.9463,-7.61549,2019
Minnesota,111.114,97.5122,0.817817,48.2,49.5,17.1,16.9,31.4,28.4,67.2653,2.68383,2019
Louisville,113.706,94.2657,0.896246,50.9,46.7,17.5,16.1,29.1,25.9,67.1044,2.31263,2019
