Team,AdjOE,AdjDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,ADJ T,WAB,Season
Kansas St.,112.932,95.2537,0.876294,52.7,49.6,19.1,22.1,29.5,32.3,65.8202,1.58484,2017
Wake Forest,123.021,103.68,0.877292,54.1,52.7,16.4,16.2,30.7,27.7,70.6589,1.28521,2017
Mount St. Mary's,99.8422,102.501,0.425015,51.0,49.9,19.2,21.7,23.1,34.8,66.9168,-7.75652,2017
New Orleans,100.624,102.095,0.458375,50.2,50.3,23.7,22.4,36.1,32.6,66.2721,-6.18729,2017
UC Davis,98.2984,101.598,0.406201,48.4,48.7,20.3,19.6,29.1,28.3,68.952,-7.36526,2017
North Carolina Central,102.31,102.015,0.508304,51.3,45.3,17.8,19.8,31.6,31.2,66.6626,-4.99321,2017
USC,114.119,101.559,0.792639,52.2,50.1,15.7,17.9,31.0,31.4,68.6965,1.35628,2017
Providence,108.911,95.4453,0.820209,51.4,49.6,18.4,20.3,26.4,28.6,66.2759,0.58169,2017
Arizona,118.36,96.4548,0.913216,53.7,47.7,16.6,17.4,33.2,26.0,65.7283,7.9045,2017
North Dakota,103.931,103.444,0.513511,53.4,50.7,18.3,19.6,26.0,27.8,71.1421,-5.23695,2017
Butler,118.451,97.8115,0.900403,54.6,50.8,15.0,19.6,27.2,27.0,65.8709,5.50749,2017
Winthrop,106.269,102.171,0.611173,53.5,46.7,17.8,18.6,26.3,28.4,70.9324,-1.6689,2017
Florida,117.335,89.9985,0.954794,51.6,45.8,16.9,21.0,32.1,29.5,68.8892,6.32181,2017
East Tennessee St.,108.229,98.0037,0.757927,55.8,48.7,20.8,22.0,30.1,27.4,70.1188,-0.601557,2017
Florida St.,116.087,96.1819,0.896893,53.7,47.9,16.4,19.5,33.8,29.8,71.4299,5.88661,2017
Florida Gulf Coast,108.751,104.252,0.619134,53.9,49.3,17.9,17.4,33.8,29.6,65.7805,-1.63074,2017
Gonzaga,118.501,87.2474,0.97128,56.6,41.1,16.2,17.1,30.0,26.2,70.1876,7.79462,2017
South Dakota St.,108.996,110.567,0.458973,53.2,53.8,18.4,16.2,27.1,28.9,67.0993,-9.6933,2017
Iowa St.,120.604,97.2374,0.922486,55.0,49.0,14.1,19.5,25.7,31.6,68.2027,6.39545,2017
Nevada,114.689,101.618,0.800846,52.5,48.3,15.5,15.9,30.4,26.3,69.6554,1.83216,2017
Middle Tennessee,112.133,97.5738,0.831931,54.1,47.9,15.6,19.8,30.1,23.8,64.4114,2.18191,2017
Minnesota,110.095,93.8585,0.86234,48.7,45.1,16.1,17.6,29.7,30.2,69.5494,3.69248,2017
Northwestern,111.853,95.8361,0.855362,49.7,46.1,16.0,17.9,30.8,30.6,65.5415,1.95339,2017
Vanderbilt,113.101,94.7487,0.88454,52.1,48.1,18.2,16.1,24.8,27.0,65.6725,0.0781578,2017
Notre Dame,120.04,97.4161,0.916951,53.6,49.1,14.0,18.7,27.3,30.8,66.9244,5.92404,2017
Princeton,108.555,96.2984,0.798639,53.2,48.7,15.2,20.2,24.1,24.7,62.8204,-0.284635,2017
Purdue,117.253,94.13,0.925952,55.7,47.7,18.3,16.6,30.8,24.4,69.052,5.5759,2017
Vermont,110.974,99.0292,0.78745,55.3,48.6,17.0,19.6,29.8,27.1,64.4809,0.857841,2017
Saint Mary's,118.865,94.7245,0.931545,57.8,45.3,17.5,15.3,33.1,21.9,59.8669,3.96796,2017
VCU,108.836,96.8315,0.79314,51.0,47.5,17.8,21.0,31.3,27.5,68.7756,1.409,2017
Villanova,122.9,93.5152,0.958605,57.5,48.1,17.1,20.1,30.2,27.8,64.2722,11.0388,2017
Virginia,112.525,87.9017,0.944798,52.4,46.1,15.6,20.7,28.3,24.5,58.9518,4.9618,2017
UNC Wilmington,118.75,105.877,0.789094,55.0,53.2,13.9,20.1,32.5,28.5,70.1236,1.69208,2017
West Virginia,116.022,90.2814,0.947086,51.3,48.8,17.0,27.6,37.9,31.9,70.8525,6.34731,2017
Bucknell,109.072,99.84,0.734399,55.3,48.0,18.9,19.7,26.8,27.9,70.0124,-1.96031,2017
Wisconsin,115.328,93.0862,0.921576,52.1,47.5,17.0,19.5,35.9,25.9,63.0172,5.11989,2017
Virginia Tech,119.044,103.45,0.834062,56.9,51.0,17.2,16.5,23.4,30.5,68.6586,3.30382,2017
Xavier,116.27,98.8692,0.865798,51.9,51.6,18.4,17.5,34.5,25.5,67.0475,1.55032,2017
Maryland,114.094,98.8933,0.838119,52.4,47.5,19.0,18.0,30.4,32.3,67.2166,3.67677,2017
Arkansas,115.517,100.75,0.828202,51.4,47.8,16.6,18.5,31.9,34.2,69.5944,3.88725,2017
Seton Hall,109.7,96.6041,0.81183,49.9,49.0,19.5,17.5,35.7,25.4,67.5086,2.60993,2017
Baylor,117.003,94.9689,0.916785,52.5,46.1,20.6,17.1,39.8,29.4,63.734,7.82814,2017
New Mexico St.,110.258,103.34,0.678122,52.7,47.9,19.5,19.1,35.6,28.5,67.7467,-0.124316,2017
Cincinnati,115.974,92.9507,0.927229,52.0,45.2,15.3,20.2,35.5,29.4,64.0079,5.69982,2017
Duke,122.793,96.5422,0.940809,54.8,47.4,16.3,17.3,31.7,29.8,68.2842,8.52566,2017
Troy,109.598,107.287,0.560962,51.6,50.1,17.8,17.6,30.8,29.8,67.997,-7.89745,2017
Kansas,122.2,95.5535,0.944206,56.1,48.1,17.6,18.6,34.1,29.7,69.9972,10.9345,2017
Kentucky,119.074,92.2928,0.949306,52.9,47.5,15.7,19.2,33.5,27.7,72.3782,8.99638,2017
Northern Kentucky,106.493,104.977,0.541104,52.4,49.7,18.8,17.0,31.2,26.4,67.9045,-4.79438,2017
Louisville,118.219,92.3587,0.944739,51.4,45.7,16.0,19.6,36.7,28.5,68.1008,6.84948,2017
Jacksonville St.,105.364,105.058,0.508338,52.6,49.4,20.7,16.6,31.2,28.5,63.663,-7.87493,2017
Michigan,123.995,98.5684,0.933339,57.0,51.9,14.2,19.5,24.7,30.0,62.5924,3.76178,2017
Oklahoma St.,127.378,103.358,0.91706,54.0,53.2,18.2,20.3,38.3,31.9,71.5866,3.27043,2017
Michigan St.,112.314,95.8359,0.861119,54.0,46.7,20.5,15.9,29.2,27.3,66.7574,0.379437,2017
Miami FL,111.401,94.1001,0.874456,51.0,47.6,19.5,18.3,33.4,28.2,63.2699,2.87661,2017
North Carolina,121.639,92.4259,0.95924,51.7,48.1,16.2,18.6,41.3,25.0,71.449,8.31228,2017
Texas Southern,101.802,107.326,0.352584,48.1,49.1,16.6,19.2,31.7,34.9,68.6419,-4.3132,2017
Oregon,118.491,94.8203,0.928432,55.5,46.4,17.1,19.3,32.4,29.5,67.0501,5.99917,2017
Iona,110.242,106.738,0.591815,53.4,50.0,16.5,18.0,27.0,32.1,70.3612,-5.56683,2017
Rhode Island,112.04,94.9657,0.87005,50.8,45.0,16.4,19.4,32.8,29.7,66.3858,0.484705,2017
Creighton,115.179,96.2116,0.88788,57.6,49.9,17.1,19.3,24.2,29.6,71.3427,4.24986,2017
South Carolina,109.399,90.0268,0.9039,47.3,45.5,18.4,24.3,34.0,31.6,68.235,1.66342,2017
Marquette,122.476,102.866,0.881487,57.5,52.2,17.3,18.3,27.1,29.2,70.165,0.575239,2017
UCLA,123.528,100.493,0.914768,59.8,48.7,15.1,15.8,29.1,28.6,73.2803,6.68356,2017
Kent St.,105.059,103.725,0.536684,48.2,50.1,17.9,19.0,38.1,29.8,68.1594,-7.00751,2017
SMU,120.872,95.0799,0.940485,54.6,46.0,16.9,18.3,37.2,26.4,63.404,6.49309,2017
Wichita St.,118.056,93.1935,0.93817,54.2,43.8,16.2,19.3,34.2,24.2,68.6176,4.18457,2017
Dayton,111.827,97.8538,0.822743,53.6,47.7,16.9,20.9,25.6,27.4,68.2453,1.55418,2017
